1) Всі телефони, посортовані за ціною із зазначенням загальної суми:
Назва: iPhone 14, Фірма: Apple, Ціна: 48999 грн, Колір: Нічний, Об’єм пам’яті: 512GB
Назва: iPhone 14 Pro Max, Фірма: Apple, Ціна: 44099 грн, Колір: Чорний, Об’єм пам’яті: 128GB
Назва: iPhone 13, Фірма: Apple, Ціна: 34399 грн, Колір: Зелений, Об’єм пам’яті: 256GB
Назва: iPhone 12, Фірма: Apple, Ціна: 28000 грн, Колір: Синій, Об’єм пам’яті: 128GB
Назва: iPhone 11, Фірма: Apple, Ціна: 13678 грн, Колір: Червоний, Об’єм пам’яті: 64GB
Назва: IP-Dect Panasonic KX-TGP600, Фірма: Panasonic, Ціна: 3294 грн, Радіус дії: 450м, Наявність автовідповідача: True
Назва: Dect Panasonic KX-TG6821UAB, Фірма: Panasonic, Ціна: 3275 грн, Радіус дії: 400м, Наявність автовідповідача: True
Назва: Dect Panasonic KX-TGE510RUS, Фірма: Panasonic, Ціна: 2387 грн, Радіус дії: 400м, Наявність автовідповідача: False
Назва: Dect Panasonic KX-TG1611UAH, Фірма: Panasonic, Ціна: 1161 грн, Радіус дії: 300м, Наявність автовідповідача: False

***Загальна сума: 179292 грн***

2) Радіотелефони з автовідповідачем:
Назва: IP-Dect Panasonic KX-TGP600, Фірма: Panasonic, Ціна: 3294 грн, Радіус дії: 450м, Наявність автовідповідача: True
Назва: Dect Panasonic KX-TG6821UAB, Фірма: Panasonic, Ціна: 3275 грн, Радіус дії: 400м, Наявність автовідповідача: True
